# critical-catalog-v1; Hajós / Zhou g3; seed=314159
zhou-g3-314159-0|14|0,1;0,2;0,3;0,4;0,5;0,6;0,10;0,11;0,13;1,5;1,11;2,3;2,13;3,4;4,5;6,7;6,8;6,9;6,10;6,12;6,13;7,8;7,12;8,9;9,10;11,12|0.6602125635,0.5215805561;0.8627703008,0.1943576585;0.6014619321,0.9071449050;0.8522761493,0.8812920770;0.9600000000,0.6666041561;0.9600000000,0.4057208366;0.2492527735,0.3520870626;0.0792283349,0.0792910042;0.1549803304,0.1518302384;0.3215028141,0.0984359296;0.4601066980,0.3271729551;0.5469466283,0.0979666169;0.0400000000,0.0400000000;0.3759966592,0.7231300951
hajos-314159-1|21|0,1;0,2;0,4;0,5;0,6;0,7;0,12;1,2;1,7;2,3;3,4;3,8;3,18;4,5;5,6;6,7;8,9;8,10;8,11;8,12;8,13;8,17;8,18;8,20;9,10;9,20;10,11;11,12;13,14;13,15;13,16;13,17;13,19;13,20;14,15;14,19;15,16;16,17;18,19|0.6331999552,0.1013222792;0.5604975403,0.1646461432;0.4609964422,0.2290009034;0.6285490522,0.4593393483;0.9600000000,0.2461382970;0.8947704886,0.2222514824;0.8059836036,0.1899095404;0.7046843464,0.1518433241;0.3245470403,0.7114238413;0.0416547956,0.9430007492;0.0400000000,0.7528029591;0.0400000000,0.5358865543;0.2583740909,0.3482188289;0.6060326221,0.9600000000;0.9093377340,0.9210532936;0.8239083049,0.9230348310;0.7052471478,0.9278126448;0.5067148103,0.8610415124;0.6940485178,0.7013594413;0.9600000000,0.9207001123;0.2624175884,0.9600000000
hajos-314159-2|19|0,1;0,2;0,3;0,4;0,5;1,2;1,5;2,6;3,4;3,10;3,16;4,5;6,7;6,8;6,9;6,10;6,11;6,15;6,16;6,18;7,8;7,18;8,9;9,10;11,12;11,13;11,14;11,15;11,17;11,18;12,13;12,17;13,14;14,15;16,17|0.6330730554,0.1776097885;0.7802208982,0.3222442909;0.7419585780,0.4632523134;0.5394262447,0.0400000000;0.5687079887,0.0766473952;0.6943748428,0.2215810750;0.6182615610,0.6904045079;0.6980519881,0.9600000000;0.8957607257,0.9600000000;0.9600000000,0.7377351326;0.8792468469,0.4280164314;0.2066852641,0.6276546241;0.0769099825,0.3207897877;0.1267995345,0.4163534757;0.1876312213,0.5285507886;0.3637012305,0.6426217438;0.3715795068,0.3030054881;0.0400000000,0.2507462140;0.4194915585,0.9376304528
zhou-g3-314159-3|27|0,1;0,2;0,4;0,5;0,14;1,2;1,5;2,3;3,4;3,26;4,5;4,14;4,15;4,19;4,26;6,7;6,8;6,10;6,11;6,12;6,13;6,18;7,8;7,13;8,9;9,10;9,14;9,24;10,11;11,12;12,13;14,15;14,16;14,17;14,18;14,23;14,24;15,16;16,17;17,18;19,20;19,21;19,22;19,23;19,25;19,26;20,21;20,25;21,22;22,23;24,25|0.2731422364,0.3845579698;0.2876031991,0.2386071827;0.4207939150,0.2400089279;0.3608355429,0.2285819959;0.2354561569,0.2324321366;0.2506050949,0.2778583289;0.5513757118,0.9600000000;0.8517458995,0.9531433647;0.7861190430,0.8807217735;0.6572163106,0.7527174062;0.8931409145,0.9600000000;0.5807246557,0.9598915200;0.6587462961,0.9589478322;0.7657334652,0.9578051876;0.3103502317,0.6055471807;0.0400000000,0.4625248324;0.0400000000,0.6719057752;0.0459334487,0.8456138584;0.2365994361,0.9344867788;0.6805397005,0.2016324818;0.9221480482,0.3263603440;0.8571493466,0.2998084911;0.7672192390,0.2653813104;0.5844483326,0.3944731907;0.6993618528,0.5573620504;0.9600000000,0.3413045983;0.5089459508,0.2166895054
hajos-314159-4|30|0,1;0,2;0,4;0,5;0,6;0,7;0,12;1,2;1,7;2,3;3,4;3,8;3,18;4,21;5,6;5,25;5,26;6,7;8,9;8,10;8,11;8,12;8,13;8,17;8,18;8,20;9,10;9,20;10,11;11,12;13,14;13,15;13,16;13,17;13,19;13,20;14,15;14,19;15,16;16,17;18,19;21,22;21,23;21,24;21,25;21,26;21,27;21,28;21,29;22,23;22,29;23,24;24,25;26,27;27,28;28,29|0.3709109484,0.2353211824;0.3540334395,0.3913501546;0.3387223623,0.4825204614;0.6243099720,0.5138907753;0.8964549515,0.0623057345;0.5139525700,0.1938563327;0.4174687144,0.2275571220;0.3690313828,0.3094766558;0.3551860011,0.8184359732;0.1647813222,0.9600000000;0.0400000000,0.9600000000;0.0400000000,0.7990824238;0.1409887311,0.5735132216;0.6705661250,0.9600000000;0.9299332991,0.9562271458;0.8710224170,0.9505257027;0.7757369096,0.9461200318;0.5720516993,0.9105502986;0.6901221221,0.7864721695;0.9600000000,0.9600000000;0.3714974414,0.9600000000;0.8749639300,0.0737525038;0.8353152861,0.1131983998;0.8126047681,0.1617816788;0.7760219963,0.2269254401;0.7401847941,0.2986791378;0.6232410781,0.1554485190;0.6922115333,0.1372943267;0.7660862980,0.1161327564;0.8502946903,0.0875491100
hajos-314159-6|23|0,1;0,2;0,3;0,4;0,5;0,6;0,7;0,8;0,9;1,2;1,9;2,17;2,21;3,4;3,16;4,5;5,6;6,7;7,8;8,9;10,11;10,12;10,13;10,14;10,15;10,16;10,20;10,21;10,22;11,15;11,21;12,13;12,22;13,14;14,15;16,17;16,18;16,19;16,20;16,22;17,18;18,19;19,20|0.2064746311,0.2276308313;0.3854557693,0.0400000000;0.5911134447,0.1884845303;0.2793824398,0.5064166121;0.0400000000,0.5043491977;0.0400000000,0.3694993740;0.0400000000,0.2186524164;0.0400000000,0.0957694249;0.0400000000,0.0400000000;0.1954235143,0.0400000000;0.7942601094,0.7989958140;0.9600000000,0.7822708163;0.5693536343,0.9600000000;0.7316057916,0.9600000000;0.8920316239,0.9600000000;0.9600000000,0.9600000000;0.6445278084,0.5576222569;0.6818941001,0.2829124597;0.7819553827,0.3610728645;0.8777715583,0.4457975841;0.8736260338,0.6132035858;0.9549192728,0.4986813284;0.5406665153,0.8314582027
zhou-g3-314159-7|20|0,1;0,2;0,3;0,4;0,5;1,2;1,5;2,3;2,6;2,9;2,10;2,19;3,19;4,5;4,8;6,7;6,8;6,9;6,10;6,11;6,15;6,16;6,18;7,10;7,16;8,18;9,19;11,12;11,13;11,14;11,15;11,17;11,18;12,13;12,17;13,14;14,15;16,17|0.1874391589,0.0520222206;0.2894370504,0.0400000000;0.5521169774,0.1841626735;0.3424085524,0.1191623885;0.0400000000,0.2107524641;0.0400000000,0.0400000000;0.5645471838,0.5721354068;0.8914122451,0.6734341929;0.1729416858,0.4648023652;0.5461400475,0.3295580118;0.8424080712,0.3963048235;0.3900270490,0.8195923331;0.2542399219,0.9512375170;0.3834081853,0.9405722074;0.5468479169,0.9251259798;0.6261349072,0.8109295976;0.6787668573,0.9174278571;0.2080176408,0.9600000000;0.2440916056,0.6471094954;0.4544332625,0.1716218188
hajos-314159-8|13|0,1;0,2;0,3;0,4;0,5;1,2;1,5;2,3;3,4;4,8;4,9;5,6;6,7;6,8;6,9;6,10;6,11;6,12;7,8;7,12;9,10;10,11;11,12|0.7765816421,0.1730479397;0.6445577702,0.0400000000;0.9600000000,0.0400000000;0.9600000000,0.2608247197;0.8880253287,0.5503314372;0.4134761602,0.2124641903;0.3999456977,0.6709663054;0.5164641543,0.5957316462;0.6446311309,0.4830244533;0.6117142009,0.9600000000;0.5670685160,0.8906262773;0.6808580787,0.8399695474;0.5457832356,0.7390252912
hajos-314159-9|22|0,1;0,2;0,3;0,4;0,5;1,2;1,5;2,6;3,4;3,10;3,16;4,5;6,7;6,8;6,9;6,10;6,11;6,15;6,16;6,18;7,8;7,18;8,9;9,20;9,21;10,19;11,12;11,13;11,14;11,15;11,17;11,18;12,13;12,17;13,14;14,15;16,17;19,20;19,21;20,21|0.4956421335,0.1631174211;0.6148584589,0.3146595979;0.5316162918,0.4459792898;0.4385642941,0.0400000000;0.4574645915,0.0723323416;0.5488956979,0.2122049713;0.3906039945,0.6951953017;0.2921549511,0.9600000000;0.5019390816,0.9600000000;0.7150539044,0.9533190757;0.7087972007,0.4484207233;0.0400000000,0.5850064554;0.0439784602,0.2959620011;0.0495809326,0.3987590789;0.0575445752,0.5070639409;0.1765657915,0.6198082733;0.2751210253,0.2903279378;0.0400000000,0.2045037529;0.0997923254,0.8840330719;0.9600000000,0.7008533195;0.9600000000,0.9600000000;0.9512289828,0.8892217430
zhou-g3-314159-10|29|0,1;0,3;0,4;0,5;0,28;1,2;1,5;1,9;1,16;1,22;1,23;1,24;1,25;1,27;1,28;2,3;2,22;3,4;4,5;6,7;6,8;6,9;6,10;6,11;6,12;6,13;6,14;6,15;7,8;7,15;8,22;8,26;9,10;10,11;11,12;12,13;13,14;14,15;16,17;16,18;16,19;16,20;16,21;16,25;16,26;16,27;17,21;17,26;18,19;18,27;19,20;20,21;23,24;23,28;24,25|0.2943336287,0.0400000000;0.5356966682,0.2581948120;0.1682759738,0.2637592684;0.0400000000,0.0400000000;0.0868353776,0.0441092482;0.2295039712,0.0703515771;0.4482303874,0.7320041837;0.5609841171,0.9327229712;0.5828964860,0.9600000000;0.4432338820,0.4532802836;0.3052088308,0.5089279467;0.2704127001,0.6009990876;0.3214029528,0.6617882331;0.3817500211,0.7292868129;0.4716608793,0.8308516074;0.5243653702,0.8901822170;0.8868209870,0.6078068841;0.9448671914,0.9310878215;0.8240800201,0.5636063143;0.8870683197,0.7201571900;0.9091423411,0.8114264592;0.9279524187,0.8792128613;0.2313683093,0.5601670412;0.6652178727,0.0400000000;0.8131449460,0.0400000000;0.8734191664,0.2538713125;0.9549588310,0.9600000000;0.7230017118,0.4515376361;0.4922405902,0.0400000000
